Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Measurements of branching fraction ratios and C P asymmetries in B±→ D C P K±decays in hadron collisions,Physical Review D,81,3,031105,2010,American Physical Society
"Aaltonen, T; ",Search for a new heavy gauge boson W'with event signature electron+ missing transverse energy in pp collisions at√ s= 1.96 TeV (8 pages) 031102 (R),Physical Review-Section D-Particles and Fields,83,3,,2011,
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for B s 0→ μ+ μ-and B 0→ μ+ μ-Decays with CDF II,Physical review letters,107,19,191801,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for Pair Production of Supersymmetric Top Quarks in Dilepton Events from p p¯ Collisions at s= 1.96 TeV,Physical review letters,104,25,251801,2010,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First measurement of the ratio of branching fractions B (Λ b 0→ Λ c+ μ-ν¯ μ)/B (Λ b 0→ Λ c+ π-),Physical Review D,79,3,032001,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for Pair Production of Scalar Top Quarks Decaying to a τ Lepton and a b Quark in p p¯ Collisions at s= 1.96 TeV,Physical review letters,101,7,071802,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First measurement of the fraction of top-quark pair production through gluon-gluon fusion,Physical Review D,78,11,111101,2008,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Measurement of the t t¯ cross section in p p¯ collisions at s= 1.96 TeV using dilepton events with a lepton plus track selection,Physical Review D,79,11,112007,2009,American Physical Society
"Aaltonen, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ","Publisher’s Note: Search for B s 0→ μ+ μ-and B 0→ μ+ μ-Decays with CDF II [Phys. Rev. Lett. 107, 191801 (2011)]",Physical Review Letters,107,23,239903,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for the Production of Scalar Bottom Quarks in p p¯ Collisions at s= 1.96 TeV,Physical review letters,105,8,081802,2010,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ","Search for W W and W Z Resonances Decaying to Electron, Missing E T, and Two Jets in p p¯ Collisions at s= 1.96 TeV.",Physical review letters,104,24,241801,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of t t¯ spin correlation in p p¯ collisions using the CDF II detector at the Tevatron,Physical Review D,83,3,031104,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for the Higgs Boson Produced in Association with Z→ ℓ+ ℓ-in p p¯ Collisions at s= 1.96 TeV,Physical review letters,101,25,251803,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for the Decays B (s) 0→ e+ μ-and B (s) 0→ e+ e-in CDF Run II,Physical review letters,102,20,201801,2009,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the mass difference between t and t quarks,Physical review letters,106,15,152001,2011,American Physical Society
"Aaltonen, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",First Measurement of the Angular Coefficients of Drell-Yan e+ e-Pairs in the Z Mass Region from p p¯ Collisions at s= 1.96 TeV,Physical review letters,106,24,241801,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Observation of Exclusive Charmonium Production and γ γ→ μ+ μ-in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,24,242001,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Two-particle momentum correlations in jets produced in p p¯ collisions at s= 1.96 TeV,Physical Review D,77,9,092001,2008,American Physical Society
